"","ENGENHARIA
GRUPO VI",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
BÁSICOS","11","E"
"","12","A"
"","13","C"
"","14","D"
"","15","C"
"","16","D"
"","17","B"
"","18","B"
"","19","E"
"","20","A"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS 
DO GRUPO VI","21","A"
"","22","B"
"","23","C"
"","24","A"
"","25","C"
"","26","E"
"","27","D"
"","28","C"
"","29","C"
"","30","E"
"","31","B"
"","32","D"
"ENG DE 
PRODUÇÃO","36","D"
"","37","D"
"","38","C"
"","39","B"
"","40","D"
"ENG DE 
PRODUÇÃO CIVIL","41","E"
"","42","B"
"","43","B"
"","44","B"
"","45","D"
"ENG DE 
PRODUÇÃO DE 
MATERIAIS","46","A"
"","47","D"
"","48","B"
"","49","E"
"","50","D"
"ENG DE 
PRODUÇÃO 
ELÉTRICA","51","D"
"","52","A"
"","53","E"
"","54","B"
"","55","A"
"ENG DE 
PRODUÇÃO 
MECÂNICA","56","D"
"","57","C"
"","58","A"
"","59","D"
"","60","E"
