"","COMPUTAÇÃO",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"SISTEMAS DE 
INFORMAÇÃO","11","A"
"","12","B"
"","13","E"
"","14","C"
"","15","E"
"","16","D"
"","17","D"
"","18","D"
"","19","A"
"","20","E"
"","21","C"
"","22","D"
"","23","A"
"","24","A"
"","25","E"
"","26","E"
"","27","B"
"","28","C"
"","29","B"
"","30","A"
"","31","C"
"","32","E"
"","33","D"
"","34","D"
"","35","D"
"","36","C"
"","37","B"
"","38","C"
"CIÊNCIA DA 
COMPUTAÇÃO / 
ENGENHARIA 
DE 
COMPUTAÇÃO","41","C"
"","42","E"
"","43","B"
"","44","C"
"","45","D"
"","46","E"
"","47","B"
"","48","A"
"","49","C"
"","50","D"
"","51","C"
"","52","A"
"","53","A"
"","54","B"
