"","FÍSICA",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"CONTEÚDOS GERAIS","8","D"
"","9","A"
"","10","C"
"","11","B"
"","12","C"
"","13","D"
"","14","E"
"","15","D"
"","16","C"
"","17","B"
"","18","A"
"","19","E"
"","20","D"
"","21","B"
"","22","A"
"","23","B"
"","24","C"
"LICENCIATURA","25","E"
"","26","E"
"","27","C"
"","28","B"
"","29","A"
"","30","E"
"","31","D"
"","32","C"
"BACHARELADO","25","E"
"","26","B"
"","27","A"
"","28","C"
"","29","E"
"","30","A"
"","31","D"
"","32","E"
