"","MATEMÁTICA",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"CONTEÚDOS GERAIS","11","D"
"","12","E"
"","13","E"
"","14","A"
"","15","ANULADA"
"","16","E"
"","17","B"
"","18","C"
"","19","B"
"","20","E"
"","21","C"
"","22","B"
"","23","C"
"","24","D"
"","25","C"
"","26","D"
"","27","D"
"","28","E"
"LICENCIATURA","31","C"
"","32","B"
"","33","C"
"","34","E"
"","35","D"
"","36","E"
"","37","E"
"","38","A"
"","39","D"
"BACHARELADO","41","D"
"","42","E"
"","43","D"
"","44","D"
"","45","D"
"","46","A"
"","47","E"
"","48","C"
"","49","E"
