"","QUÍMICA",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"CONTEÚDOS 
GERAIS","8","B"
"","9","A"
"","10","D"
"","11","A"
"","12","E"
"","13","A"
"","14","A"
"","15","E"
"","16","A"
"","17","B"
"","18","E"
"","19","D"
"","20","B"
"","21","C"
"","22","C"
"","23","D"
"","24","C"
"","25","C"
"","26","B"
"","27","B"
"BACHARELADO","28","D"
"","29","C"
"","30","E"
"","31","C"
"QUÍMICO COM 
ATRIBUIÇÕES 
TECNOLÓGICAS","32","B"
"","33","B"
"","34","D"
"","35","D"
"LICENCIATURA","36","A"
"","37","E"
"","38","E"
"","39","C"
