"41 -","C"
"42 -","D"
"43 -","E"
"44 -","B"
"45 -","D"
"46 -","A"
"47 -","B"
"48 -","Discursiva"
"49 -","Discursiva"
"50 -","Discursiva"
"Engenharia Cartográfica",""
"51 -","B"
"52 -","B"
"53 -","D"
"54 -","C"
"55 -","E"
"56 -","D"
"57 -","A"
"58 -","Discursiva"
"59 -","Discursiva"
"60 -","Discursiva"
"Engenharia Hídrica",""
"61 -","B"
"62 -","C"
"63 -","D"
"64 -","E"
"65 -","B"
"66 -","C"
"67 -","D"
"68 -","Discursiva"
"69 -","Discursiva"
"70 -","Discursiva"
"Engenharia Agrimensura",""
"71 -","B"
"72 -","A"
"73 -","E"
"74 -","A"
"75 -","C"
"76 -","D"
"77 -","E"
"78 -","Discursiva"
"79 -","Discursiva"
"80 -","Discursiva"
